season,first_team,second_team,third_team
1989-90,Karl Malone,Larry Bird,James Worthy
1989-90,Charles Barkley,Tom Chambers,Chris Mullin
1989-90,Patrick Ewing,Hakeem Olajuwon,David Robinson
1989-90,Magic Johnson,John Stockton,Clyde Drexler
1989-90,Michael Jordan,Kevin Johnson,Joe Dumars
1990-91,Karl Malone,Dominique Wilkins,James Worthy
1990-91,Charles Barkley,Chris Mullin,Bernard King
1990-91,David Robinson,Patrick Ewing,Hakeem Olajuwon
1990-91,Michael Jordan,Kevin Johnson,John Stockton
1990-91,Magic Johnson,Clyde Drexler,Joe Dumars
1991-92,Karl Malone,Scottie Pippen,Dennis Rodman
1991-92,Chris Mullin,Charles Barkley,Kevin Willis
1991-92,David Robinson,Patrick Ewing,Brad Daugherty
1991-92,Michael Jordan,Tim Hardaway,Mark Price
1991-92,Clyde Drexler,John Stockton,Kevin Johnson
1992-93,Charles Barkley,Dominique Wilkins,Scottie Pippen
1992-93,Karl Malone,Larry Johnson,Derrick Coleman
1992-93,Hakeem Olajuwon,Patrick Ewing,David Robinson
1992-93,Michael Jordan,John Stockton,Tim Hardaway
1992-93,Mark Price,Joe Dumars,Dražen Petrović
1993-94,Scottie Pippen,Shawn Kemp,Derrick Coleman
1993-94,Karl Malone,Charles Barkley,Dominique Wilkins
1993-94,Hakeem Olajuwon,David Robinson,Shaquille O'Neal
1993-94,John Stockton,Mitch Richmond,Mark Price
1993-94,Latrell Sprewell,Kevin Johnson,Gary Payton
1994-95,Karl Malone,Charles Barkley,Detlef Schrempf
1994-95,Scottie Pippen,Shawn Kemp,Dennis Rodman
1994-95,David Robinson,Shaquille O'Neal,Hakeem Olajuwon
1994-95,John Stockton,Gary Payton,Reggie Miller
1994-95,Penny Hardaway,Mitch Richmond,Clyde Drexler
1995-96,Scottie Pippen,Shawn Kemp,Charles Barkley
1995-96,Karl Malone,Grant Hill,Juwan Howard
1995-96,David Robinson,Hakeem Olajuwon,Shaquille O'Neal
1995-96,Michael Jordan,Gary Payton,Mitch Richmond
1995-96,Penny Hardaway,John Stockton,Reggie Miller
1996-97,Karl Malone,Scottie Pippen,Anthony Mason
1996-97,Grant Hill,Glen Rice,Vin Baker
1996-97,Hakeem Olajuwon,Patrick Ewing,Shaquille O'Neal
1996-97,Michael Jordan,Gary Payton,John Stockton
1996-97,Tim Hardaway,Mitch Richmond,Penny Hardaway
1997-98,Karl Malone,Grant Hill,Scottie Pippen
1997-98,Tim Duncan,Vin Baker,Glen Rice
1997-98,Shaquille O'Neal,David Robinson,Dikembe Mutombo
1997-98,Michael Jordan,Tim Hardaway,Mitch Richmond
1997-98,Gary Payton,Rod Strickland,Reggie Miller
1998-99,Karl Malone,Chris Webber,Kevin Garnett
1998-99,Tim Duncan,Grant Hill,Antonio McDyess
1998-99,Alonzo Mourning,Shaquille O'Neal,Hakeem Olajuwon
1998-99,Allen Iverson,Gary Payton,Kobe Bryant
1998-99,Jason Kidd,Tim Hardaway,John Stockton
1999-00,Tim Duncan,Karl Malone,Chris Webber
