,player,season,as,played_for,pos_1,pos_2,all_nba_team_label,2p,3p,ft,trb,ast,stl,blk,2p%,ws,ortg,per,blk%,usg%
0,Bam Adebayo,2023-24,1,1,C,F,NA,7.6,0.0,5.0,10.6,4.0,1.0,1.0,51.300000000000004,3.9,113,19.5,2.8,26.0
1,Grayson Allen,2023-24,0,1,G,NA,NA,1.7,2.6,1.6,4.0,3.1,0.9,0.6,54.7,4.1,131,13.5,1.7,13.9
2,Jarrett Allen,2023-24,0,1,C,F,NA,6.4,0.0,2.8,10.6,2.8,0.8,1.2,65.0,6.6,132,22.1,3.4,18.9
3,Giannis Antetokounmpo,2023-24,1,1,F,G,NA,11.0,0.5,7.3,11.2,6.3,1.4,1.1,64.60000000000001,8.6,125,29.2,2.5,33.1
4,OG Anunoby,2023-24,0,2,F,NA,NA,3.7,2.1,1.6,4.2,2.3,1.3,0.7,60.6,2.5,116,13.5,1.8,17.6
5,Deni Avdija,2023-24,0,1,G,F,NA,3.8,1.1,2.3,6.4,3.8,0.8,0.4,56.49999999999999,2.2,114,14.8,1.2,19.1
6,Deandre Ayton,2023-24,0,1,C,NA,NA,6.4,0.0,1.1,10.4,1.7,1.0,0.8,55.400000000000006,2.0,112,16.4,2.2,18.6
7,Paolo Banchero,2023-24,1,1,F,NA,NA,6.6,1.5,5.2,6.9,5.2,1.1,0.5,48.199999999999996,3.3,109,17.2,1.4,29.6
8,Desmond Bane,2023-24,0,1,G,NA,NA,5.6,3.3,3.3,4.6,5.3,1.0,0.5,55.1,2.8,114,18.8,1.4,28.8
9,Harrison Barnes,2023-24,0,1,F,NA,NA,2.3,1.9,1.8,2.9,1.2,0.7,0.2,58.099999999999994,2.9,123,11.7,0.5,15.0
10,Scottie Barnes,2023-24,1,1,G,F,NA,5.6,1.8,3.4,8.1,5.9,1.2,1.5,53.300000000000004,4.4,116,19.5,3.7,24.6
11,RJ Barrett,2023-24,0,2,G,F,NA,5.4,1.6,3.7,5.3,2.9,0.5,0.4,52.7,2.3,113,15.6,1.1,25.6
12,Nicolas Batum,2023-24,0,2,F,G,NA,0.8,1.3,0.3,3.9,2.3,0.7,0.7,68.4,2.2,139,11.5,2.6,8.2
13,Bradley Beal,2023-24,0,1,G,NA,NA,5.7,1.7,2.4,4.4,4.7,0.9,0.3,55.400000000000006,1.4,112,14.7,0.7,24.1
14,Malik Beasley,2023-24,0,1,G,NA,NA,1.3,2.9,0.3,4.0,1.4,0.7,0.1,52.900000000000006,2.7,122,11.1,0.3,14.0
15,Saddiq Bey,2023-24,0,1,F,NA,NA,2.8,1.8,2.7,6.6,1.4,0.9,0.1,53.6,2.9,122,13.2,0.4,16.4
16,Goga Bitadze,2023-24,0,1,C,NA,NA,2.5,0.0,1.1,5.7,1.5,0.6,1.4,64.3,3.4,133,18.3,7.0,12.7
17,Bismack Biyombo,2023-24,0,1,C,F,NA,2.2,0.0,0.7,6.4,1.7,0.3,1.1,56.3,1.0,109,9.9,4.4,10.6
18,Anthony Black,2023-24,0,1,G,NA,NA,1.3,0.5,0.8,2.2,1.6,0.5,0.4,55.800000000000004,1.4,112,8.8,1.8,12.0
19,Bojan Bogdanović,2023-24,0,2,G,F,NA,3.9,3.0,2.9,3.3,2.5,0.8,0.1,51.4,0.8,111,13.7,0.3,24.2
20,Devin Booker,2023-24,1,1,G,NA,NA,7.6,2.3,6.1,4.7,7.1,0.9,0.4,55.60000000000001,6.1,125,22.8,1.0,30.3
21,Mikal Bridges,2023-24,0,1,F,G,NA,5.1,2.6,3.9,4.9,3.7,0.9,0.4,50.9,2.9,113,16.0,1.1,25.7
22,Miles Bridges,2023-24,0,1,G,F,NA,5.8,2.5,2.7,7.1,3.3,1.0,0.6,51.7,1.4,110,16.0,1.4,24.8
23,Malcolm Brogdon,2023-24,0,1,G,NA,NA,3.5,2.1,2.4,3.8,5.5,0.7,0.2,45.800000000000004,2.5,119,16.9,0.6,23.1
24,Dillon Brooks,2023-24,0,1,F,G,NA,3.1,1.9,2.0,3.3,1.6,0.9,0.1,49.6,1.9,110,10.2,0.4,18.6
25,Bruce Brown,2023-24,0,2,G,F,NA,3.4,0.9,1.8,4.6,2.7,1.0,0.3,53.1,1.6,114,11.8,1.0,16.6
26,Jaylen Brown,2023-24,1,1,F,G,NA,6.6,2.0,3.0,5.6,3.7,1.1,0.6,56.89999999999999,3.8,113,17.7,1.5,27.8
27,Jalen Brunson,2023-24,1,1,G,NA,NA,7.2,2.6,5.2,3.9,6.5,0.9,0.2,52.0,7.1,125,22.2,0.5,30.1
28,Jimmy Butler,2023-24,0,1,F,G,NA,5.7,1.0,7.0,5.5,4.6,1.3,0.3,51.2,5.5,130,22.4,0.9,24.3
29,Kentavious Caldwell-Pope,2023-24,0,1,G,NA,NA,2.1,1.5,1.7,2.3,2.3,1.3,0.5,50.7,2.8,117,10.2,1.2,13.1
30,Toumani Camara,2023-24,0,1,F,NA,NA,1.8,0.7,1.0,4.8,1.0,1.0,0.5,51.1,0.9,104,9.4,1.7,14.0
31,Clint Capela,2023-24,0,1,C,NA,NA,4.8,0.0,1.8,10.6,1.0,0.6,1.5,57.49999999999999,4.1,132,20.8,5.2,16.7
32,Alex Caruso,2023-24,0,1,G,NA,NA,1.7,1.7,1.2,3.8,2.8,1.3,1.2,60.8,3.1,120,14.5,4.5,14.9
33,Julian Champagnie,2023-24,0,1,F,NA,NA,0.6,1.3,0.8,2.5,1.1,0.6,0.6,45.9,0.8,110,10.8,2.9,14.7
34,Nic Claxton,2023-24,0,1,C,NA,NA,5.4,0.0,1.5,10.3,1.9,0.7,2.3,62.9,4.2,127,19.7,7.0,15.9
35,John Collins,2023-24,0,1,F,NA,NA,4.5,1.2,1.8,8.1,1.0,0.6,0.8,60.8,2.9,119,16.1,2.6,19.8
36,Mike Conley,2023-24,0,1,G,NA,NA,1.3,2.4,1.1,2.8,6.5,1.0,0.2,44.4,5.4,134,15.3,0.6,14.7
37,Cade Cunningham,2023-24,0,1,G,NA,NA,6.6,1.8,3.8,4.0,7.5,1.0,0.3,49.3,0.6,107,15.5,0.8,29.7
38,Stephen Curry,2023-24,1,1,G,NA,NA,4.1,5.0,4.8,4.4,4.8,0.8,0.4,52.800000000000004,5.0,121,21.5,1.1,31.4
39,Anthony Davis,2023-24,1,1,F,C,NA,9.1,0.3,5.4,12.1,3.9,1.2,2.4,57.599999999999994,7.5,123,25.3,5.9,26.6
40,DeMar DeRozan,2023-24,0,1,G,F,NA,6.8,1.0,6.0,4.1,5.2,1.2,0.6,49.4,5.6,121,18.6,1.8,24.9
41,Spencer Dinwiddie,2023-24,0,1,G,NA,NA,2.2,1.9,2.6,3.3,6.0,0.8,0.2,48.0,2.8,119,13.2,0.5,18.3
42,Donte DiVincenzo,2023-24,0,1,G,NA,NA,1.8,3.0,1.0,3.2,2.4,1.2,0.3,55.400000000000006,4.2,124,16.9,1.3,20.9
43,Luka Dončić,2023-24,1,1,G,F,NA,7.7,4.0,7.3,8.8,9.4,1.4,0.6,57.699999999999996,7.5,123,28.2,1.4,36.1
44,Luguentz Dort,2023-24,0,1,G,NA,NA,1.7,1.9,1.6,3.8,1.3,0.8,0.7,50.6,2.8,116,10.9,2.4,15.3
45,Kris Dunn,2023-24,0,1,G,NA,NA,1.5,0.6,0.3,2.9,4.3,1.0,0.5,50.0,1.6,118,13.9,2.4,14.0
46,Kevin Durant,2023-24,1,1,F,G,NA,8.0,2.3,5.5,6.5,5.7,0.9,1.3,56.8,6.1,122,23.2,3.1,29.4
47,Jalen Duren,2023-24,0,1,C,NA,NA,6.3,0.0,1.8,12.2,2.5,0.4,0.8,64.60000000000001,3.0,125,18.8,2.3,17.8
48,Anthony Edwards,2023-24,1,1,G,F,NA,6.3,2.6,5.4,5.2,5.2,1.2,0.5,50.3,4.6,112,19.1,1.2,31.9
49,Joel Embiid,2023-24,1,1,C,NA,NA,10.6,1.2,10.5,11.3,5.7,1.1,1.8,56.2,6.8,126,34.2,4.6,38.8
50,Dorian Finney-Smith,2023-24,0,1,F,NA,NA,1.2,2.1,0.3,4.8,1.5,0.7,0.6,47.3,1.6,114,10.0,2.0,13.4
51,Simone Fontecchio,2023-24,0,2,F,NA,NA,1.5,1.8,0.6,3.6,1.5,0.6,0.4,55.60000000000001,1.5,116,11.2,1.3,15.6
52,De'Aaron Fox,2023-24,0,1,G,NA,NA,6.5,2.9,4.6,3.9,5.4,1.8,0.4,51.9,3.5,113,19.4,1.1,31.0
53,Daniel Gafford,2023-24,0,2,C,F,NA,4.6,0.0,1.9,8.0,1.5,1.0,2.1,68.89999999999999,4.5,138,20.1,6.5,14.1
54,Darius Garland,2023-24,0,1,G,NA,NA,5.1,1.6,3.3,2.4,5.8,1.4,0.1,54.300000000000004,1.4,108,15.0,0.4,26.4
55,Paul George,2023-24,1,1,F,G,NA,4.6,3.3,3.3,5.3,3.6,1.6,0.4,51.6,4.5,117,18.6,1.0,27.0
56,Josh Giddey,2023-24,0,1,G,NA,NA,3.7,1.0,1.2,6.1,4.5,0.7,0.5,49.0,2.0,108,14.9,1.9,22.8
57,Shai Gilgeous-Alexander,2023-24,1,1,G,NA,NA,9.7,1.2,8.0,5.6,6.6,2.2,0.9,58.4,11.1,131,30.6,2.4,32.9
58,Rudy Gobert,2023-24,0,1,C,NA,NA,5.2,0.0,3.4,12.5,1.2,0.6,2.0,65.3,7.4,130,18.8,5.4,15.5
59,Aaron Gordon,2023-24,0,1,F,NA,NA,4.8,0.6,2.3,6.5,3.1,0.8,0.7,60.099999999999994,4.0,123,16.0,1.8,17.5
60,Jerami Grant,2023-24,0,1,F,NA,NA,5.3,2.1,5.0,3.8,2.7,0.7,0.7,48.699999999999996,2.6,115,16.2,1.9,26.2
61,Jalen Green,2023-24,0,1,G,NA,NA,4.3,2.1,3.6,4.9,3.4,0.7,0.3,49.0,1.4,104,13.5,0.9,27.1
62,Tyrese Haliburton,2023-24,1,1,G,NA,NA,4.8,3.1,3.1,3.9,11.7,1.0,0.7,59.4,6.1,133,25.7,1.8,26.1
63,James Harden,2023-24,0,1,G,NA,NA,2.3,2.8,4.3,5.1,8.5,1.2,0.9,48.6,6.1,128,19.3,2.4,20.4
64,Tobias Harris,2023-24,0,1,F,NA,NA,5.6,1.2,3.1,6.0,3.4,1.0,0.5,56.2,4.4,122,16.9,1.4,20.4
65,Killian Hayes,2023-24,0,1,G,NA,NA,2.3,0.5,0.8,2.8,4.9,0.9,0.5,45.5,0.6,107,10.4,1.6,14.9
66,Gordon Hayward,2023-24,0,1,F,G,NA,4.7,0.9,2.5,4.7,4.6,1.1,0.5,49.6,0.6,109,14.0,1.4,20.9
67,Tyler Herro,2023-24,0,1,G,NA,NA,4.5,3.3,1.9,5.3,4.3,0.9,0.1,46.400000000000006,1.2,107,15.4,0.2,27.9
68,Buddy Hield,2023-24,0,2,G,F,NA,1.9,2.7,0.5,3.3,2.8,0.9,0.6,57.4,1.9,115,13.1,1.7,18.8
69,Jrue Holiday,2023-24,0,1,G,NA,NA,3.0,2.1,1.1,5.9,4.6,0.8,0.7,49.8,4.2,120,14.2,1.9,16.9
70,Chet Holmgren,2023-24,0,1,F,C,NA,4.7,1.7,2.4,7.5,2.7,0.7,2.6,61.6,5.8,122,20.6,8.0,21.5
71,Kevin Huerter,2023-24,0,1,G,NA,NA,2.0,2.0,0.7,3.6,2.6,0.7,0.4,58.3,2.4,118,12.9,1.3,17.5
72,Brandon Ingram,2023-24,0,1,F,NA,NA,6.7,1.4,4.0,5.1,5.8,0.8,0.6,53.2,4.1,116,18.5,1.7,27.4
73,Kyrie Irving,2023-24,0,1,G,NA,NA,6.5,2.9,3.4,5.0,5.5,1.3,0.4,51.9,3.4,122,22.3,1.1,29.1
74,Jaden Ivey,2023-24,0,1,G,NA,NA,3.9,1.6,2.9,3.9,3.7,0.7,0.6,51.2,0.9,109,13.9,1.7,24.5
75,Jaren Jackson Jr.,2023-24,0,1,F,NA,NA,5.9,1.8,5.1,5.5,2.1,1.0,1.6,50.8,2.2,107,17.1,4.6,30.1
76,LeBron James,2023-24,1,1,F,G,NA,7.2,2.1,4.1,7.3,7.8,1.3,0.6,57.199999999999996,4.8,117,22.4,1.5,29.1
77,Cameron Johnson,2023-24,0,1,F,NA,NA,2.7,2.5,1.2,4.7,2.6,0.8,0.3,52.7,2.4,119,14.7,0.8,19.4
78,Jalen Johnson,2023-24,0,1,F,NA,NA,5.0,1.2,2.0,8.5,3.4,1.3,0.8,58.699999999999996,2.7,119,16.0,2.2,17.9
79,Keldon Johnson,2023-24,0,1,G,NA,NA,4.2,1.8,2.7,5.8,3.0,0.8,0.3,52.7,1.7,111,14.4,0.9,22.8
80,Nikola Jokić,2023-24,1,1,C,F,NA,9.2,1.1,4.7,12.2,9.0,1.2,0.9,62.7,10.8,132,31.7,2.4,29.6
81,Derrick Jones Jr.,2023-24,0,1,F,NA,NA,2.4,1.3,1.4,3.7,1.1,0.8,0.8,63.5,2.1,117,12.2,2.6,15.3
82,Herbert Jones,2023-24,0,1,F,NA,NA,2.5,1.4,1.7,3.5,2.5,1.1,0.9,57.099999999999994,3.6,124,13.6,2.9,15.0
